title,count,score
KANON\u002F雪之少女,105,8.8
永远之久远,100,8.8
关于我女友是个一本正经的碧池这件事,8302,8.7
妖神记,1334,8.7
魔法禁书目录 第二季,1307,8.7
人马少女的烦恼,1092,8.7
超自然9人组,1086,8.7
弹丸论破,974,8.7
CROSSANGE 天使与龙的轮舞,832,8.7
约会大作战 万由里裁决,561,8.7
黑子的篮球,550,8.7
魔法禁书目录 剧场版,526,8.7
魔弹之王与战姬,387,8.7
野良与皇女与流浪猫之心,349,8.7
肯普法,331,8.7
菊叔5岁画,300,8.7
迷途猫OVERRUN！,289,8.7
露蒂的玩具,269,8.7
架向星空之桥,265,8.7
一人之下第二季 日语版,230,8.7
那就是声优！,229,8.7
十万个冷笑话 第一季,220,8.7
大图书馆的牧羊人,212,8.7
丝缎女孩对谈,197,8.7
TRINITY SEVEN 七人魔法使 剧场版,177,8.7
玻璃之花与崩坏的世界,177,8.7
前方高能之辣稽,166,8.7
美男高校地球防卫部LOVE！,127,8.7
青年黑杰克,123,8.7
魔法禁书目录 炭,116,8.7
心灵侦探八云,114,8.7
献给某飞行员的恋歌,107,8.7
杀戮公主,102,8.7
口水封神,101,8.7
我的朋友很少 OAD,100,8.7
Re：从零开始的异世界生活,8203,8.6
Charlotte,4086,8.6
斩·赤红之瞳！,3358,8.6
魔法禁书目录 第一季,1878,8.6
Love Live! Sunshine!!,1229,8.6
加速世界,972,8.6
机巧少女不会受伤,893,8.6
我，要成为双马尾。,742,8.6
画江湖之侠岚,583,8.6
纳米核心 第三季,542,8.6
传颂之物 虚伪的假面,528,8.6
恶魔战线,372,8.6
當不成勇者的我，只好認真找工作（僅限港澳台地區）,356,8.6
活撃\u002F刀剣乱舞（僅限港澳台地區）,284,8.6
黑子的篮球 第2期,278,8.6
请认真和我恋爱！！,244,8.6
梦王国与沉睡的100王子 短篇动画,226,8.6
RDG 濒危物种少女,225,8.6
南家三姐妹 再来一碗,223,8.6
只要你说你爱我,211,8.6
染红的街道,205,8.6
加速世界 Infinite Burst,194,8.6
斯特拉的魔法,163,8.6
霹雳天命之仙魔鏖锋Ⅱ斩魔录,162,8.6
尸兄,158,8.6
红壳的潘多拉,153,8.6
君吻Pure Rouge,147,8.6
任性HighSpec,114,8.6
墓王之王 麒麟决,113,8.6
大叔与棉花糖,113,8.6
终结的炽天使 OVA,104,8.6
空罐少女,100,8.6
动画同好会,1791,8.5
K RETURN OF KINGS,1086,8.5
爱神巧克力,945,8.5
少女编号,936,8.5
就算是哥哥有爱就没问题了对吧,754,8.5
精灵使的剑舞,731,8.5
超时空要塞Δ,650,8.5
暗芝居 第五季,552,8.5
雏子的笔记,525,8.5
血色苍穹（下篇）,490,8.5
黑白来看守所 第二季,352,8.5
灼眼的夏娜II -Second-,345,8.5
龙之界点,321,8.5
腹黑妹妹控兄记,293,8.5
中国惊奇先生,288,8.5
钢壳都市雷吉欧斯,204,8.5
画江湖之不良人 第一季,201,8.5
东之伊甸,187,8.5
精灵宝可梦XY&Z,183,8.5
被狙击的学园,177,8.5
屁屁吾郎,129,8.5
魔物娘的同居日常（港澳台）,124,8.5
敢达创战者 TRY,114,8.5
魔法少女奈叶ViVid,107,8.5
前方高能之神烦狗,105,8.5
魔法少女什么的已经够了啦。第二季,103,8.5
pop子和pipi美的日常,26232,8.4
刀使巫女,3439,8.4
十万个冷笑话 第三季,970,8.4
Rewrite 2nd Season,940,8.4
绯弹的亚里亚,634,8.4
18if 梦境异闻录,595,8.4
怪怪守护神,561,8.4
狗与剪刀的正确用法,523,8.4
黑白来看守所,478,8.4
画江湖之灵主,246,8.4
覆面系 NOISE,237,8.4
BanG Dream!,209,8.4
石膏男孩,173,8.4
十万个冷笑话 第二季,155,8.4
红 Kurenai,135,8.4
小森同学拒绝不了！,129,8.4
御神乐学园组曲,127,8.4
Butlers～千年百年物语～,121,8.4
在下坂本，有何贵干？,4935,8.3
血色苍穹（上篇）,1006,8.3
清恋 SEIREN,876,8.3
我的朋友很少,865,8.3
我太受欢迎了该怎么办,599,8.3
如果她的旗帜被折断了,348,8.3
公主恋人！,216,8.3
R-15,117,8.3
魔法少女什么的已经够了啦。,105,8.3
欢迎来到实力至上主义的教室,21974,8.2
埃罗芒阿老师,9581,8.2
罪恶王冠,4873,8.2
线上游戏的老婆不可能是女生？,1570,8.2
巴哈姆特之怒 VIRGIN SOUL,1446,8.2
天使的3P!,1393,8.2
URAHARA,898,8.2
TRINITY SEVEN 七人魔法使,671,8.2
天谕,244,8.2
核爆默示录,122,8.2
请别忧伤了二之宫君,120,8.2
Regalia 三圣星,114,8.2
裁断分离之罪恶剪刀,112,8.2
战刻夜想曲,681,8.1
六花的勇者,639,8.1
我的朋友很少NEXT,579,8.1
革命机Valvrave,478,8.1
高达创形者,411,8.1
对魔导学园35试验小队,349,8.1
从前有座灵剑山,343,8.1
"Wake Up, Girls! 新章",319,8.1
秋叶原之旅 THE ANIMATION,282,8.1
笑面推销员NEW,249,8.1
美妙天堂 偶像时间,199,8.1
黑色残骸,160,8.1
智龙迷城X,142,8.1
HENTAI！,108,8.1
骑士&魔法,2816,7.9
从零开始的魔法书,1653,7.9
約會大作戰 第二季 （僅限港澳台地區）,766,7.9
X-龙时代,326,7.9
一人之下 日语版,165,7.9
少女骑士物语,136,7.9
ViVid Strike!,114,7.9
十二大战,9616,7.8
狐妖小红娘 日语版,1375,7.8
极黑的布伦希尔德,554,7.8
学战都市Asterisk 第二季,529,7.8
逆转裁判,411,7.8
三人行必有我妹,263,7.8
双月之城,145,7.8
无畏魔女,116,7.8
终结的炽天使,1054,7.7
Rewrite,893,7.7
终结的炽天使 名古屋决战篇,705,7.7
乱步奇谭 Game of Laplace,509,7.7
LOST SONG 失落的歌谣,451,7.7
我被绑架到贵族女校当庶民样本 SP,109,7.7
原书·原书使,1608,7.6
CHAOS;CHILD,694,7.6
魔法少女育成计划,672,7.6
Infinite Stratos 2,470,7.6
PUPA,207,7.6
曾几何时天魔的黑兔,170,7.6
Ange Vierge,118,7.6
我被绑架到贵族女校当庶民样本,715,7.5
黑之宣告,181,7.5
暗芝居 第四季,115,7.5
Fate\u002FGrand Order ‐First Order‐,4183,7.4
甲铁城的卡巴内瑞,3236,7.4
UQ HOLDER！悠久持有者！,2708,7.4
弹丸论破3 -绝望篇-,909,7.4
苍之彼方的四重奏,429,7.4
热诚传说 第二季,389,7.4
画江湖之不良人 第二季,310,7.4
我的天劫女友,1461,7.3
恋爱暴君,1263,7.3
学战都市Asterisk,691,7.3
双星之阴阳师,682,7.3
全职法师,252,7.3
绯弹的亚里亚 AA,218,7.3
峡谷重案组,153,7.3
我叫白小飞,144,7.3
热诚传说X,448,7.2
初恋怪兽,218,7.2
混沌之脑,154,7.2
Dies irae 神怒之日（僅限港澳台地區）,276,7.1
真月谭月姬,262,7.1
新妹魔王的契約者（僅限港澳台）,114,7.1
时钟机关之星,772,6.9
重神机潘多拉（中配）,523,6.9
百武装战记,265,6.9
魔法科高校的劣等生,2791,6.8
拳皇命运,1113,6.8
C?D,128,6.8
Code Geass 亡国的阿基德,239,6.7
SWORD GAI 装刀凯 The Animation,108,6.7
斗罗大陆2绝世唐门,1975,6.6
绝对双刃,673,6.5
樱花忍法帖,460,6.5
雏蜂,123,6.5
世界黑暗图鉴,112,6.4
第一次辣妹,2159,6.3
Hand Shakers,685,6.3
从前有座灵剑山 第二季,520,6.3
重神机潘多拉,2774,6.2
画江湖之杯莫停,303,6.2
风夏,904,6.1
CLANNAD 剧场版,438,6.1
王者歪传,218,6.1
万界仙踪,219,5.9
一课一练 中文版,195,5.9
ISUCA,205,5.7
皇帝圣印战记,8030,5.6
空战魔导士候补生的教官,382,5.5
时空使徒 中文版,108,5.4
博人传 火影忍者新时代,15010,5.3
11eyes-罪与罚与赎的少女-,177,5.3
银之守墓人,476,5.2
Fate\u002FApocrypha,55902,4.9
國王遊戲 The Animation（僅限台灣地區）,561,3.9
魔法战争,547,3.8
斗破苍穹,2127,3.5
正确的KADO,912,3.5
Taboo Tattoo－禁忌咒纹－,430,3.4
迷家,3446,3.1
阿拉德：宿命之门,753,3.1
